Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
M&M,3618.5,3690.2,3663.9,3749.1,3754.3,3699.5,3698.6,3734.9,3694.8,3722.5,3716.7,3749.6,3690.8,3669.3,3686.4,3681.2,3757.3,3741.6,3716.5,3649.4,3671.6,3717.1
INOXINDIA,1202.9,1175.3,1177.8,1200.7,1200.7,1200.2,1200.5,1231.4,1208.1,1159,1155.2,1150.1,1173.2,1175.5,1178.4,1193.9,1169.6,1150.7,1151.9,1157,1154.3,1137.8
OLAELEC,47.57,46.55,44.31,42.86,43.19,42.2,42.29,42.28,42.13,41.95,41.88,41.86,40.81,40.59,40.76,41.42,41.21,40.59,40.04,38.03,36.12,35.5
DBREALTY,143.91,145.74,142.6,142.54,143.6,152.73,146.3,141.2,142.98,140.92,140.41,135.98,131.83,134.03,135.52,134.91,131.79,129.87,127.06,126.46,122.22,120.41
LATENTVIEW,470.45,436.55,455.5,485.45,482.8,482.4,488.8,479,469.9,494.25,493.05,482.95,484.35,499.2,493.65,485.9,498.35,483.4,468.25,458.1,457.65,450.9
TVSMOTOR,3446.8,3456.8,3490.8,3474.2,3454.5,3450.6,3386.5,3475.4,3479.9,3477.7,3486.4,3441.9,3441.5,3447.8,3538.6,3518,3531.5,3661.8,3670.7,3631.8,3646.4,3665.4
IKS,1667.5,1660.2,1675,1654.6,1644.7,1616.2,1604.4,1620.1,1600.6,1594.6,1590.4,1568,1677.5,1629.8,1680.6,1696,1680.6,1704.2,1682.6,1667.5,1666.6,1645
HEROMOTOCO,5326,5296,5359.5,5417.5,5534,5508.5,5538.5,5798.5,5799.5,5876.5,5999.5,6002.5,5982,6081.5,6136.5,6151,6174.5,6295.5,6270.5,6211.5,6340,6350.5
ASHOKLEY,141.23,141.28,142.28,146.04,142.53,150.41,148.26,148.45,147.23,145.46,146.24,144.69,144.59,145.83,148.95,159.75,158.12,160.3,160,162.71,160.21,160.86
CAMPUS,271.3,276.8,280.3,274.65,275.6,269.9,272.7,275.65,271.3,263.25,257.95,260.9,268,273.7,274.8,271.2,275.9,275.85,275.25,275,273.2,273.95
ETERNAL,305.65,306.1,301.45,305.8,308.8,297.75,303.75,309.55,306.15,306.6,306.9,301.95,301,302.3,306.85,302.75,300.1,301.5,300.55,297.75,295.75,292.4
TCS,34.67,35.11,34.4,33.77,35.27,34.63,34.64,34.77,34.03,33.39,33.43,33.64,34.81,35.9,36.1,36.5,35.38,33.9,34.5,34.96,33.27,33.14
TCS,34.67,35.11,34.4,33.77,35.27,34.63,34.64,34.77,34.03,33.39,33.43,33.64,34.81,35.9,36.1,36.5,35.38,33.9,34.5,34.96,33.27,33.14
ULTRACEMCO,11910,11849,11728,11825,11921,11934,11874,11778,11707,11666,11753,11729,11584,11580,11759,11617,11600,11662,11666,11591,11608,11597
